Postal Code,Place Name,State,County,Latitude,Longitude
00-350,Warszawa,Mazowieckie,Warszawa,52.25,21
00-351,Warszawa,Mazowieckie,Warszawa,52.25,21
00-353,Warszawa,Mazowieckie,Warszawa,52.25,21
00-354,Warszawa,Mazowieckie,Warszawa,52.25,21
00-355,Warszawa,Mazowieckie,Warszawa,52.25,21
00-356,Warszawa,Mazowieckie,Warszawa,52.25,21
00-357,Warszawa,Mazowieckie,Warszawa,52.25,21
00-358,Warszawa,Mazowieckie,Warszawa,52.25,21
00-359,Warszawa,Mazowieckie,Warszawa,52.25,21
00-360,Warszawa,Mazowieckie,Warszawa,52.25,21
00-362,Warszawa,Mazowieckie,Warszawa,52.25,21
00-363,Warszawa,Mazowieckie,Warszawa,52.25,21
00-364,Warszawa,Mazowieckie,Warszawa,52.25,21
00-365,Warszawa,Mazowieckie,Warszawa,52.25,21
00-366,Warszawa,Mazowieckie,Warszawa,52.25,21
00-367,Warszawa,Mazowieckie,Warszawa,52.25,21
00-368,Warszawa,Mazowieckie,Warszawa,52.25,21
00-369,Warszawa,Mazowieckie,Warszawa,52.25,21
00-370,Warszawa,Mazowieckie,Warszawa,52.25,21
00-372,Warszawa,Mazowieckie,Warszawa,52.25,21
00-373,Warszawa,Mazowieckie,Warszawa,52.25,21
00-374,Warszawa,Mazowieckie,Warszawa,52.25,21
00-375,Warszawa,Mazowieckie,Warszawa,52.25,21
00-377,Warszawa,Mazowieckie,Warszawa,52.25,21
00-378,Warszawa,Mazowieckie,Warszawa,52.25,21
00-379,Warszawa,Mazowieckie,Warszawa,52.25,21
00-380,Warszawa,Mazowieckie,Warszawa,52.25,21
00-381,Warszawa,Mazowieckie,Warszawa,52.25,21
00-382,Warszawa,Mazowieckie,Warszawa,52.25,21
00-384,Warszawa,Mazowieckie,Warszawa,52.25,21
00-385,Warszawa,Mazowieckie,Warszawa,52.25,21
00-386,Warszawa,Mazowieckie,Warszawa,52.25,21
00-388,Warszawa,Mazowieckie,Warszawa,52.25,21
00-389,Warszawa,Mazowieckie,Warszawa,52.25,21
00-390,Warszawa,Mazowieckie,Warszawa,52.25,21
00-391,Warszawa,Mazowieckie,Warszawa,52.25,21
00-392,Warszawa,Mazowieckie,Warszawa,52.25,21
00-393,Warszawa,Mazowieckie,Warszawa,52.25,21
00-394,Warszawa,Mazowieckie,Warszawa,52.25,21
00-400,Warszawa,Mazowieckie,Warszawa,52.25,21
00-401,Warszawa,Mazowieckie,Warszawa,52.25,21
00-402,Warszawa,Mazowieckie,Warszawa,52.25,21
00-403,Warszawa,Mazowieckie,Warszawa,52.25,21
00-404,Warszawa,Mazowieckie,Warszawa,52.25,21
00-405,Warszawa,Mazowieckie,Warszawa,52.25,21
00-406,Warszawa,Mazowieckie,Warszawa,52.25,21
00-407,Warszawa,Mazowieckie,Warszawa,52.25,21
00-408,Warszawa,Mazowieckie,Warszawa,52.25,21
00-409,Warszawa,Mazowieckie,Warszawa,52.25,21
00-410,Warszawa,Mazowieckie,Warszawa,52.25,21
00-411,Warszawa,Mazowieckie,Warszawa,52.25,21
00-412,Warszawa,Mazowieckie,Warszawa,52.25,21
00-413,Warszawa,Mazowieckie,Warszawa,52.25,21
00-414,Warszawa,Mazowieckie,Warszawa,52.25,21
00-415,Warszawa,Mazowieckie,Warszawa,52.25,21
00-416,Warszawa,Mazowieckie,Warszawa,52.25,21
00-417,Warszawa,Mazowieckie,Warszawa,52.25,21
00-418,Warszawa,Mazowieckie,Warszawa,52.25,21
00-419,Warszawa,Mazowieckie,Warszawa,52.25,21
00-420,Warszawa,Mazowieckie,Warszawa,52.25,21
00-421,Warszawa,Mazowieckie,Warszawa,52.25,21
00-422,Warszawa,Mazowieckie,Warszawa,52.25,21
00-423,Warszawa,Mazowieckie,Warszawa,52.25,21
00-424,Warszawa,Mazowieckie,Warszawa,52.25,21
00-425,Warszawa,Mazowieckie,Warszawa,52.25,21
00-427,Warszawa,Mazowieckie,Warszawa,52.25,21
00-428,Warszawa,Mazowieckie,Warszawa,52.25,21
00-429,Warszawa,Mazowieckie,Warszawa,52.25,21
00-430,Warszawa,Mazowieckie,Warszawa,52.25,21
00-431,Warszawa,Mazowieckie,Warszawa,52.25,21
00-432,Warszawa,Mazowieckie,Warszawa,52.25,21
00-433,Warszawa,Mazowieckie,Warszawa,52.25,21
00-434,Warszawa,Mazowieckie,Warszawa,52.25,21
00-435,Warszawa,Mazowieckie,Warszawa,52.25,21
00-436,Warszawa,Mazowieckie,Warszawa,52.25,21
00-438,Warszawa,Mazowieckie,Warszawa,52.25,21
00-439,Warszawa,Mazowieckie,Warszawa,52.25,21
00-440,Warszawa,Mazowieckie,Warszawa,52.25,21
00-441,Warszawa,Mazowieckie,Warszawa,52.25,21
00-442,Warszawa,Mazowieckie,Warszawa,52.25,21
00-443,Warszawa,Mazowieckie,Warszawa,52.25,21
00-444,Warszawa,Mazowieckie,Warszawa,52.25,21
00-446,Warszawa,Mazowieckie,Warszawa,52.25,21
00-447,Warszawa,Mazowieckie,Warszawa,52.25,21
00-448,Warszawa,Mazowieckie,Warszawa,52.25,21
00-449,Warszawa,Mazowieckie,Warszawa,52.25,21
00-450,Warszawa,Mazowieckie,Warszawa,52.25,21
00-451,Warszawa,Mazowieckie,Warszawa,52.25,21
00-452,Warszawa,Mazowieckie,Warszawa,52.25,21
00-453,Warszawa,Mazowieckie,Warszawa,52.25,21
00-454,Warszawa,Mazowieckie,Warszawa,52.25,21
00-455,Warszawa,Mazowieckie,Warszawa,52.25,21
00-456,Warszawa,Mazowieckie,Warszawa,52.25,21
00-457,Warszawa,Mazowieckie,Warszawa,52.25,21
00-458,Warszawa,Mazowieckie,Warszawa,52.25,21
00-459,Warszawa,Mazowieckie,Warszawa,52.25,21
00-460,Warszawa,Mazowieckie,Warszawa,52.25,21
00-461,Warszawa,Mazowieckie,Warszawa,52.25,21
00-462,Warszawa,Mazowieckie,Warszawa,52.25,21
00-463,Warszawa,Mazowieckie,Warszawa,52.25,21
00-464,Warszawa,Mazowieckie,Warszawa,52.25,21
00-465,Warszawa,Mazowieckie,Warszawa,52.25,21
00-466,Warszawa,Mazowieckie,Warszawa,52.25,21
00-467,Warszawa,Mazowieckie,Warszawa,52.25,21
00-468,Warszawa,Mazowieckie,Warszawa,52.25,21
00-477,Warszawa,Mazowieckie,Warszawa,52.25,21
00-478,Warszawa,Mazowieckie,Warszawa,52.25,21
00-479,Warszawa,Mazowieckie,Warszawa,52.25,21
00-480,Warszawa,Mazowieckie,Warszawa,52.25,21
00-481,Warszawa,Mazowieckie,Warszawa,52.25,21
00-482,Warszawa,Mazowieckie,Warszawa,52.25,21
00-483,Warszawa,Mazowieckie,Warszawa,52.25,21
00-484,Warszawa,Mazowieckie,Warszawa,52.25,21
00-485,Warszawa,Mazowieckie,Warszawa,52.25,21
00-486,Warszawa,Mazowieckie,Warszawa,52.25,21
00-487,Warszawa,Mazowieckie,Warszawa,52.25,21
00-488,Warszawa,Mazowieckie,Warszawa,52.25,21
00-489,Warszawa,Mazowieckie,Warszawa,52.25,21
00-490,Warszawa,Mazowieckie,Warszawa,52.25,21
00-491,Warszawa,Mazowieckie,Warszawa,52.25,21
00-492,Warszawa,Mazowieckie,Warszawa,52.25,21
00-493,Warszawa,Mazowieckie,Warszawa,52.25,21
00-495,Warszawa,Mazowieckie,Warszawa,52.25,21
00-496,Warszawa,Mazowieckie,Warszawa,52.25,21
00-497,Warszawa,Mazowieckie,Warszawa,52.25,21
00-498,Warszawa,Mazowieckie,Warszawa,52.25,21
00-499,Warszawa,Mazowieckie,Warszawa,52.25,21
00-501,Warszawa,Mazowieckie,Warszawa,52.25,21
00-502,Warszawa,Mazowieckie,Warszawa,52.25,21
00-503,Warszawa,Mazowieckie,Warszawa,52.25,21
00-504,Warszawa,Mazowieckie,Warszawa,52.25,21
00-505,Warszawa,Mazowieckie,Warszawa,52.25,21
00-507,Warszawa,Mazowieckie,Warszawa,52.25,21
00-508,Warszawa,Mazowieckie,Warszawa,52.25,21
00-509,Warszawa,Mazowieckie,Warszawa,52.25,21
00-510,Warszawa,Mazowieckie,Warszawa,52.25,21
00-511,Warszawa,Mazowieckie,Warszawa,52.25,21
00-512,Warszawa,Mazowieckie,Warszawa,52.25,21
00-513,Warszawa,Mazowieckie,Warszawa,52.25,21
00-514,Warszawa,Mazowieckie,Warszawa,52.25,21
00-515,Warszawa,Mazowieckie,Warszawa,52.25,21
00-516,Warszawa,Mazowieckie,Warszawa,52.25,21
00-517,Warszawa,Mazowieckie,Warszawa,52.25,21
00-518,Warszawa,Mazowieckie,Warszawa,52.25,21
00-519,Warszawa,Mazowieckie,Warszawa,52.25,21
00-521,Warszawa,Mazowieckie,Warszawa,52.25,21
00-522,Warszawa,Mazowieckie,Warszawa,52.25,21
00-524,Warszawa,Mazowieckie,Warszawa,52.25,21
00-525,Warszawa,Mazowieckie,Warszawa,52.25,21
